---
TYPE: hospital_resident
h8: 3
h9: 3
h10: 3
h11: 3
h12: 3
h13: 3
h14: 3
h15: 3
h16: 3
h17: 3
h18: 3
h19: 3
h20: 3
h21: 3
h22: 3
h23: 3
h24: 3
h25: 3
h26: 3
h27: 3
h28: 3
h29: 3
h30: 3
h31: 3
h32: 3
h33: 3
h34: 3
h35: 3
h36: 3
h37: 3
h38: 3
h39: 3
h40: 3
h41: 3
h42: 3
h43: 3
h44: 3
h45: 3
h46: 3
h47: 3
h48: 3
h49: 3
h50: 3
h51: 3
h52: 3
h53: 3
h54: 3
h55: 3
h56: 3
h57: 3
h58: 3
h59: 3
h60: 3
h61: 3
h62: 3
h63: 3
h64: 3
h65: 3
h66: 3
h67: 3
h68: 3
h69: 3
h70: 3
h71: 3
h72: 3
h73: 3
h74: 3
h75: 3
h76: 3
h77: 3
h78: 3
h79: 3
h80: 3
h81: 3
h82: 3
h83: 3
h84: 3
h85: 3
h86: 3
h87: 3
h88: 3
h89: 3
h90: 3
h91: 3
h92: 3
h93: 3
h94: 3
h95: 3
h96: 3
h97: 3
h98: 3
h99: 3
h100: 3
h101: 3
h102: 3
h103: 3
h104: 3
h105: 3
h106: 3
h107: 3
h108: 3
h109: 3
h110: 3
h111: 3
h112: 3
h113: 3
h114: 3
h115: 3
h116: 3
h117: 3
h118: 3
h119: 3
h120: 3
h121: 3
h122: 3
h123: 3
h124: 3
h125: 3
h126: 3
h127: 3
h128: 3
h129: 3
h130: 3
h131: 3
h132: 3
h133: 3
h134: 3
h135: 3
h136: 3
h137: 3
h138: 3
h139: 3
h140: 3
h141: 3
h142: 3
h143: 3
h144: 3
h145: 3
h146: 3
h147: 3
h148: 3
h149: 3
h150: 3
h151: 3
h152: 3
h153: 3
h154: 3
h155: 3
h156: 3
h157: 3
h158: 3
h159: 3
h160: 3
h161: 3
h162: 3
h163: 3
h164: 3
h165: 3
h166: 3
h167: 3
h168: 3
h169: 3
h170: 3
h171: 3
h172: 3
h173: 3
h174: 3
h175: 3
h176: 3
h177: 3
h178: 3
h179: 3
h180: 3
h181: 3
h182: 3
h183: 3
h184: 3
h185: 3
h186: 3
h187: 3
h188: 3
h189: 3
h190: 3
h191: 3
h192: 3
h193: 3
h194: 3
h195: 3
h196: 3
h197: 3
h198: 3
h199: 3
h200: 3
RESIDENT_PREFERENCES:
r1: h40, h122, h76, h55, h147, h51, h73, h65, h134, h119, h27, h187, h111, h107, h47, h49, h114, h1, h115, h18, h139, h129, h105, h146, h71, h42, h59, h69, h179, h16, h153, h38, h95, h144, h97, h31, h44, h23, h96, h94, h62, h142, h174, h5, h8, h82, h61, h103, h79, h180, h178, h184, h57, h118, h195, h89, h30, h131, h200, h6, h88, h93, h121, h149, h133, h163, h197, h46, h108, h32, h157, h99, h160, h136, h112, h181, h117, h41, h154, h80, h135, h140, h166, h123, h138, h10, h45, h168, h164, h128, h43, h11, h52, h56, h53, h9, h173, h3, h50, h13, h183, h192, h25, h159, h104, h185, h132, h77, h92, h110, h90, h109, h81, h74, h37, h172, h86, h165, h98, h22, h189, h75, h156, h67, h64, h152, h39, h34, h125, h29, h36, h169, h167, h177, h7, h124, h48, h35, h191, h170, h63, h113, h176, h91, h4, h21, h150, h141, h85, h126, h66, h148, h60, h137, h193, h116, h199, h190, h54, h72, h87, h2, h182, h70, h130, h12, h14, h143, h151, h26, h161, h145, h194, h68, h162, h58, h120, h198, h100, h155, h78, h20, h19, h28, h188, h158, h106, h102, h24, h84, h17, h33, h15, h83, h127, h196, h186, h175, h171, h101
r2: h3, h26, h32, h95, h49, h119, h103, h155, h60, h152, h86, h185, h139, h175, h169, h52, h91, h166, h167, h28, h109, h105, h122, h18, h39, h48, h67, h191, h53, h101, h22, h24, h156, h135, h58, h121, h61, h159, h115, h133, h65, h168, h107, h174, h192, h116, h82, h187, h130, h76, h178, h128, h134, h173, h80, h186, h45, h68, h59, h72, h100, h96, h117, h118, h127, h150, h8, h90, h170, h190, h81, h31, h29, h83, h160, h147, h102, h189, h62, h114, h19, h55, h195, h77, h15, h9, h146, h57, h11, h176, h21, h87, h79, h25, h63, h111, h153, h16, h131, h73, h104, h33, h6, h98, h10, h112, h129, h78, h70, h113, h93, h163, h34, h162, h36, h5, h164, h69, h88, h44, h196, h75, h85, h188, h165, h7, h66, h140, h51, h197, h46, h149, h13, h41, h12, h143, h158, h23, h194, h84, h137, h126, h200, h30, h92, h181, h157, h182, h184, h42, h154, h64, h27, h144, h125, h89, h97, h110, h1, h74, h2, h142, h124, h20, h47, h50, h151, h172, h120, h171, h40, h199, h56, h54, h180, h198, h138, h123, h106, h148, h183, h94, h141, h136, h99, h193, h132, h43, h161, h108, h179, h17, h37, h14, h71, h35, h38, h177, h145, h4
r3: h132, h117, h163, h154, h133, h62, h171, h195, h116, h46, h35, h16, h170, h121, h90, h34, h124, h5, h54, h131, h185, h37, h53, h41, h89, h111, h145, h87, h58, h179, h74, h83, h200, h2, h165, h71, h190, h79, h1, h150, h157, h45, h189, h193, h32, h139, h6, h91, h112, h95, h155, h110, h55, h77, h101, h14, h174, h143, h70, h162, h13, h94, h135, h158, h142, h144, h20, h8, h26, h84, h73, h4, h176, h68, h27, h115, h168, h140, h42, h146, h123, h187, h12, h173, h88, h125, h19, h57, h108, h78, h60, h191, h119, h50, h33, h156, h109, h102, h141, h56, h17, h24, h152, h10, h148, h134, h172, h104, h113, h177, h93, h100, h48, h186, h188, h161, h44, h29, h107, h86, h47, h76, h51, h85, h178, h129, h105, h61, h21, h9, h82, h181, h96, h169, h167, h127, h97, h103, h67, h43, h198, h25, h80, h65, h182, h159, h18, h130, h175, h194, h151, h64, h106, h75, h81, h22, h11, h149, h147, h126, h3, h23, h66, h63, h118, h59, h92, h98, h36, h137, h183, h120, h122, h38, h196, h7, h39, h52, h40, h138, h30, h180, h72, h160, h69, h136, h166, h99, h28, h197, h199, h164, h49, h114, h153, h31, h184, h15, h192, h128
r4: h183, h123, h139, h2, h174, h22, h120, h182, h67, h14, h10, h160, h45, h190, h15, h70, h18, h71, h176, h151, h54, h167, h99, h43, h140, h24, h48, h188, h180, h59, h164, h34, h76, h171, h63, h13, h169, h50, h184, h187, h90, h96, h51, h111, h147, h62, h25, h4, h109, h9, h175, h186, h142, h17, h146, h185, h156, h125, h137, h29, h94, h82, h74, h52, h73, h5, h85, h154, h161, h132, h6, h192, h127, h26, h38, h121, h33, h8, h46, h3, h106, h47, h53, h23, h93, h119, h86, h145, h117, h113, h98, h135, h150, h112, h89, h193, h197, h128, h107, h166, h200, h172, h16, h144, h37, h41, h126, h72, h39, h12, h84, h198, h100, h173, h64, h65, h55, h20, h19, h155, h91, h105, h79, h129, h36, h152, h27, h110, h130, h159, h101, h40, h60, h95, h35, h49, h75, h108, h81, h131, h102, h165, h42, h30, h68, h69, h181, h57, h114, h56, h97, h163, h191, h133, h124, h168, h158, h44, h177, h143, h134, h58, h61, h104, h162, h88, h11, h178, h28, h179, h31, h141, h78, h196, h115, h195, h189, h103, h32, h1, h87, h138, h157, h21, h92, h149, h199, h83, h122, h118, h194, h153, h66, h136, h148, h80, h7, h170, h116, h77
r5: h172, h137, h94, h14, h5, h61, h79, h62, h59, h15, h140, h67, h75, h8, h37, h36, h19, h164, h149, h51, h198, h114, h142, h96, h18, h26, h183, h112, h200, h177, h24, h23, h151, h189, h179, h129, h175, h122, h78, h144, h73, h132, h123, h117, h87, h89, h53, h124, h141, h82, h118, h12, h152, h54, h113, h135, h169, h170, h11, h160, h154, h159, h111, h156, h31, h157, h98, h97, h192, h197, h44, h187, h69, h83, h17, h103, h139, h178, h166, h80, h163, h58, h196, h155, h195, h32, h120, h115, h104, h127, h90, h3, h101, h147, h146, h42, h34, h71, h128, h194, h109, h29, h16, h162, h41, h182, h33, h70, h43, h35, h121, h49, h143, h77, h145, h167, h6, h50, h138, h92, h110, h4, h191, h102, h119, h64, h22, h131, h199, h193, h57, h185, h99, h28, h134, h108, h153, h130, h125, h106, h55, h20, h1, h52, h27, h168, h84, h93, h47, h186, h76, h105, h161, h9, h39, h181, h148, h48, h68, h180, h133, h25, h126, h13, h81, h88, h158, h190, h45, h40, h95, h10, h107, h136, h150, h74, h72, h7, h2, h56, h63, h30, h46, h176, h188, h85, h173, h66, h165, h174, h100, h171, h116, h184, h91, h21, h65, h60, h38, h86
r6: h87, h177, h184, h166, h165, h127, h13, h179, h53, h189, h141, h59, h160, h199, h18, h46, h4, h3, h120, h76, h68, h111, h124, h92, h79, h143, h56, h2, h9, h191, h161, h85, h54, h180, h137, h128, h11, h132, h193, h188, h117, h164, h136, h72, h70, h162, h64, h71, h155, h122, h171, h21, h51, h170, h15, h195, h86, h190, h50, h108, h24, h103, h49, h8, h6, h73, h114, h47, h39, h66, h116, h28, h150, h25, h148, h159, h81, h26, h78, h113, h102, h35, h106, h200, h93, h45, h23, h104, h84, h183, h194, h95, h154, h129, h175, h138, h20, h172, h135, h32, h142, h41, h186, h156, h34, h62, h98, h181, h90, h67, h75, h151, h63, h44, h12, h167, h88, h169, h91, h14, h163, h94, h69, h100, h153, h145, h115, h105, h96, h19, h42, h157, h110, h130, h168, h126, h123, h89, h182, h192, h144, h74, h140, h80, h139, h38, h109, h40, h52, h131, h10, h58, h149, h118, h101, h187, h31, h7, h17, h174, h107, h97, h82, h158, h27, h198, h36, h173, h185, h147, h119, h134, h125, h133, h196, h55, h29, h112, h48, h37, h83, h197, h5, h57, h1, h43, h61, h30, h77, h152, h146, h60, h22, h99, h121, h33, h65, h176, h178, h16
r7: h167, h95, h142, h72, h132, h61, h149, h107, h94, h121, h65, h185, h38, h14, h18, h63, h39, h178, h141, h105, h137, h111, h78, h177, h198, h116, h118, h93, h186, h119, h73, h129, h130, h43, h200, h151, h171, h103, h174, h54, h46, h15, h24, h33, h84, h51, h1, h12, h34, h195, h91, h98, h194, h42, h62, h145, h170, h139, h74, h108, h113, h184, h81, h59, h16, h187, h106, h5, h159, h193, h60, h150, h83, h117, h109, h66, h154, h192, h17, h45, h28, h44, h191, h70, h148, h48, h96, h124, h32, h175, h169, h182, h140, h6, h86, h47, h71, h101, h155, h138, h163, h90, h112, h190, h3, h110, h21, h153, h115, h29, h102, h128, h7, h120, h2, h82, h10, h181, h19, h26, h127, h189, h164, h196, h20, h41, h13, h69, h97, h40, h147, h199, h126, h99, h55, h58, h87, h49, h144, h53, h67, h56, h180, h162, h30, h172, h165, h22, h25, h35, h125, h114, h166, h85, h11, h134, h157, h179, h4, h57, h146, h123, h36, h133, h79, h173, h88, h156, h104, h52, h197, h9, h50, h77, h23, h188, h31, h136, h158, h92, h160, h183, h75, h68, h176, h161, h100, h89, h8, h143, h122, h64, h37, h152, h80, h135, h131, h27, h76, h168
r8: h140, h14, h111, h64, h176, h66, h46, h20, h44, h29, h143, h28, h131, h159, h170, h182, h127, h163, h107, h156, h19, h96, h93, h90, h187, h5, h40, h117, h126, h115, h82, h179, h88, h136, h137, h192, h74, h157, h56, h65, h10, h36, h132, h194, h62, h197, h183, h98, h102, h180, h26, h24, h171, h57, h95, h78, h72, h135, h50, h85, h7, h8, h122, h34, h139, h141, h51, h185, h84, h134, h60, h55, h80, h16, h3, h162, h124, h188, h145, h152, h114, h153, h49, h119, h113, h160, h178, h129, h12, h13, h86, h58, h47, h21, h43, h9, h4, h173, h165, h33, h123, h146, h138, h52, h184, h48, h79, h142, h101, h38, h151, h144, h108, h75, h195, h100, h200, h42, h189, h39, h41, h71, h30, h6, h172, h158, h45, h97, h106, h150, h190, h155, h69, h133, h25, h31, h186, h154, h67, h61, h125, h177, h121, h181, h68, h63, h196, h54, h99, h70, h128, h168, h35, h174, h120, h37, h116, h164, h147, h148, h109, h76, h53, h83, h77, h17, h112, h92, h27, h22, h105, h175, h81, h149, h18, h32, h191, h167, h89, h59, h1, h193, h11, h166, h161, h91, h87, h73, h23, h110, h130, h103, h94, h15, h198, h2, h169, h199, h118, h104
r9: h199, h188, h147, h68, h155, h101, h142, h107, h167, h126, h200, h92, h78, h33, h170, h4, h5, h179, h146, h115, h127, h118, h82, h54, h38, h2, h159, h112, h66, h27, h124, h70, h104, h56, h161, h43, h84, h52, h32, h132, h62, h79, h90, h149, h193, h45, h182, h99, h109, h103, h69, h130, h141, h183, h40, h13, h187, h198, h184, h11, h37, h85, h180, h176, h177, h81, h8, h97, h133, h194, h21, h150, h138, h35, h153, h111, h50, h15, h64, h120, h93, h154, h136, h143, h23, h157, h44, h16, h168, h181, h65, h137, h140, h96, h60, h41, h197, h24, h55, h125, h22, h131, h25, h10, h87, h175, h196, h172, h145, h57, h98, h121, h34, h158, h139, h116, h100, h117, h152, h171, h166, h185, h74, h59, h58, h144, h190, h151, h108, h51, h17, h72, h189, h48, h135, h134, h162, h49, h186, h174, h26, h76, h29, h178, h195, h160, h156, h88, h7, h119, h46, h173, h122, h165, h36, h39, h67, h47, h129, h77, h73, h95, h20, h6, h94, h18, h128, h61, h31, h105, h86, h110, h123, h9, h91, h192, h106, h12, h14, h28, h1, h169, h75, h89, h148, h80, h19, h83, h164, h191, h30, h42, h71, h53, h114, h113, h3, h163, h102, h63
r10: h115, h4, h74, h109, h39, h150, h178, h70, h110, h10, h48, h62, h5, h122, h60, h78, h158, h55, h196, h167, h113, h97, h19, h138, h45, h52, h63, h33, h120, h73, h81, h116, h108, h118, h183, h129, h136, h142, h50, h127, h177, h148, h80, h49, h44, h27, h54, h147, h180, h193, h64, h43, h166, h88, h15, h140, h187, h84, h51, h126, h25, h17, h156, h46, h53, h61, h141, h32, h85, h170, h173, h89, h6, h171, h23, h145, h103, h14, h155, h144, h111, h162, h18, h124, h134, h102, h58, h95, h133, h82, h69, h87, h24, h194, h125, h79, h35, h172, h3, h165, h135, h59, h20, h34, h26, h86, h91, h169, h36, h101, h182, h31, h65, h157, h12, h28, h159, h94, h106, h104, h99, h98, h71, h67, h96, h192, h119, h13, h30, h83, h131, h185, h57, h100, h76, h163, h199, h112, h139, h137, h93, h175, h191, h1, h132, h8, h56, h160, h181, h90, h188, h105, h186, h176, h189, h22, h195, h174, h149, h41, h72, h9, h11, h121, h68, h114, h66, h75, h146, h21, h128, h179, h47, h40, h37, h154, h2, h117, h42, h29, h38, h168, h16, h77, h164, h151, h161, h143, h92, h152, h190, h130, h123, h197, h200, h107, h7, h184, h153, h198
r11: h24, h45, h89, h91, h198, h47, h113, h22, h30, h74, h51, h34, h23, h142, h70, h28, h117, h165, h95, h135, h56, h98, h151, h36, h60, h168, h100, h78, h33, h163, h120, h155, h114, h105, h6, h123, h81, h172, h10, h183, h189, h196, h7, h137, h131, h193, h115, h145, h41, h48, h99, h15, h149, h8, h166, h42, h80, h116, h61, h170, h37, h73, h102, h150, h38, h185, h178, h200, h127, h85, h18, h176, h16, h112, h154, h43, h144, h71, h182, h75, h138, h21, h141, h181, h88, h129, h9, h111, h192, h84, h118, h31, h68, h76, h136, h143, h130, h108, h50, h173, h66, h92, h159, h57, h125, h20, h17, h146, h195, h79, h44, h180, h67, h93, h2, h152, h94, h119, h106, h110, h49, h128, h14, h58, h191, h179, h153, h186, h156, h53, h52, h90, h121, h82, h25, h122, h157, h46, h96, h126, h167, h32, h184, h139, h72, h140, h69, h109, h5, h83, h103, h188, h1, h3, h194, h171, h148, h199, h124, h87, h187, h40, h175, h63, h13, h107, h39, h197, h27, h104, h174, h169, h86, h190, h62, h35, h133, h160, h19, h54, h11, h55, h101, h4, h158, h77, h147, h65, h29, h132, h26, h164, h161, h59, h162, h134, h64, h12, h177, h97
r12: h109, h133, h106, h131, h102, h200, h75, h68, h65, h17, h137, h54, h30, h171, h2, h176, h149, h162, h24, h182, h122, h71, h108, h118, h181, h186, h33, h150, h86, h157, h67, h155, h120, h48, h35, h4, h104, h190, h83, h167, h148, h79, h63, h93, h197, h56, h161, h184, h179, h90, h18, h146, h29, h5, h42, h173, h3, h52, h62, h76, h94, h82, h198, h193, h84, h115, h168, h99, h110, h177, h189, h129, h89, h158, h97, h15, h127, h132, h95, h85, h59, h80, h164, h64, h114, h194, h61, h20, h191, h34, h147, h57, h55, h6, h117, h170, h135, h31, h139, h112, h39, h128, h27, h37, h126, h78, h12, h134, h16, h169, h10, h53, h26, h69, h142, h38, h51, h81, h43, h199, h111, h77, h180, h45, h141, h165, h107, h28, h58, h160, h19, h125, h113, h124, h138, h153, h91, h136, h144, h175, h74, h96, h70, h25, h187, h166, h23, h14, h9, h116, h140, h152, h105, h103, h21, h154, h87, h7, h88, h44, h183, h73, h100, h185, h145, h36, h47, h195, h41, h32, h8, h159, h196, h72, h40, h192, h121, h172, h119, h60, h174, h163, h22, h123, h101, h92, h178, h143, h66, h11, h151, h156, h188, h49, h46, h130, h50, h13, h1, h98
r13: h52, h138, h173, h53, h15, h31, h129, h98, h28, h109, h146, h27, h2, h55, h80, h105, h67, h110, h169, h74, h12, h136, h143, h10, h118, h199, h172, h120, h40, h125, h33, h194, h158, h107, h94, h99, h82, h36, h180, h111, h23, h155, h175, h25, h42, h59, h4, h117, h73, h164, h75, h21, h57, h122, h87, h92, h152, h178, h83, h149, h157, h13, h153, h37, h188, h100, h35, h91, h71, h147, h187, h24, h96, h66, h17, h93, h90, h79, h64, h151, h139, h183, h154, h77, h113, h89, h166, h18, h26, h85, h51, h54, h78, h197, h3, h179, h145, h62, h177, h106, h46, h102, h101, h70, h174, h198, h162, h114, h182, h124, h132, h170, h193, h126, h127, h168, h29, h81, h32, h63, h186, h123, h185, h142, h5, h135, h47, h44, h192, h176, h121, h161, h41, h116, h72, h200, h119, h65, h68, h141, h130, h56, h14, h144, h60, h112, h189, h184, h104, h190, h191, h20, h61, h156, h38, h160, h163, h131, h86, h22, h19, h134, h43, h50, h196, h16, h137, h171, h140, h167, h11, h133, h108, h58, h48, h9, h39, h30, h148, h7, h165, h95, h34, h103, h49, h88, h45, h159, h69, h150, h6, h195, h181, h76, h8, h97, h128, h84, h1, h115
r14: h24, h149, h10, h65, h62, h104, h64, h163, h96, h177, h139, h181, h173, h178, h100, h156, h142, h114, h158, h124, h38, h164, h105, h97, h174, h111, h89, h74, h95, h192, h42, h90, h55, h194, h108, h140, h80, h134, h172, h61, h189, h125, h70, h191, h99, h49, h6, h118, h136, h48, h110, h84, h56, h60, h15, h122, h195, h5, h168, h73, h94, h91, h154, h119, h8, h127, h106, h117, h68, h109, h160, h17, h33, h182, h21, h16, h51, h29, h133, h171, h36, h39, h67, h200, h126, h20, h132, h1, h59, h31, h166, h144, h93, h131, h12, h46, h58, h153, h152, h101, h7, h175, h43, h123, h13, h184, h9, h147, h197, h183, h11, h63, h27, h135, h30, h113, h187, h155, h44, h112, h188, h199, h92, h71, h57, h85, h186, h167, h41, h66, h116, h145, h150, h75, h107, h79, h22, h130, h82, h4, h40, h2, h26, h69, h77, h50, h176, h88, h98, h103, h102, h138, h115, h157, h52, h76, h196, h148, h169, h120, h78, h87, h185, h19, h25, h18, h47, h32, h129, h165, h34, h128, h35, h53, h190, h180, h146, h37, h45, h170, h179, h162, h83, h198, h159, h151, h141, h54, h193, h121, h137, h3, h81, h86, h161, h28, h23, h72, h14, h143
r15: h117, h33, h196, h37, h165, h56, h16, h132, h9, h25, h195, h23, h76, h146, h99, h109, h163, h41, h174, h13, h20, h101, h100, h153, h114, h29, h15, h139, h162, h140, h88, h21, h136, h64, h148, h200, h183, h128, h72, h48, h156, h112, h182, h92, h155, h14, h193, h147, h49, h103, h8, h59, h121, h168, h80, h89, h93, h6, h123, h62, h34, h133, h150, h63, h157, h189, h12, h135, h177, h171, h102, h57, h58, h111, h186, h166, h18, h143, h145, h175, h7, h97, h43, h113, h149, h86, h190, h68, h194, h161, h47, h84, h19, h188, h98, h108, h67, h78, h27, h75, h96, h142, h115, h1, h87, h199, h28, h17, h197, h138, h5, h129, h52, h11, h141, h90, h152, h178, h85, h42, h40, h118, h74, h24, h167, h83, h50, h30, h39, h159, h160, h181, h4, h137, h127, h54, h172, h106, h116, h38, h61, h107, h120, h131, h79, h26, h60, h77, h169, h3, h144, h134, h10, h81, h158, h35, h184, h91, h69, h126, h2, h122, h124, h105, h104, h53, h45, h46, h176, h185, h119, h179, h70, h170, h110, h32, h94, h22, h191, h36, h82, h173, h151, h130, h65, h51, h71, h31, h95, h125, h180, h154, h198, h192, h66, h44, h73, h55, h164, h187
r16: h40, h172, h152, h173, h29, h50, h24, h17, h161, h44, h1, h73, h4, h64, h16, h109, h74, h41, h158, h143, h147, h22, h116, h59, h114, h198, h160, h9, h186, h133, h37, h32, h87, h20, h66, h46, h120, h28, h3, h176, h83, h192, h115, h55, h42, h95, h108, h31, h156, h123, h36, h171, h144, h52, h168, h56, h27, h8, h72, h13, h99, h125, h146, h96, h81, h157, h90, h54, h193, h89, h110, h183, h135, h190, h47, h103, h38, h14, h98, h153, h117, h164, h70, h12, h191, h118, h68, h93, h58, h35, h196, h151, h45, h177, h112, h167, h94, h181, h179, h63, h166, h148, h154, h75, h62, h138, h57, h100, h194, h21, h18, h102, h85, h7, h180, h178, h163, h53, h19, h82, h111, h65, h139, h92, h84, h128, h79, h49, h86, h141, h77, h69, h165, h174, h119, h134, h121, h155, h11, h48, h184, h197, h5, h30, h131, h106, h61, h34, h101, h104, h91, h200, h195, h185, h145, h137, h140, h199, h182, h6, h51, h88, h67, h26, h129, h76, h187, h170, h188, h169, h122, h105, h130, h113, h107, h43, h78, h124, h60, h189, h162, h150, h71, h10, h149, h97, h136, h2, h25, h39, h126, h142, h175, h159, h33, h80, h127, h23, h15, h132
r17: h18, h111, h80, h140, h139, h194, h125, h134, h40, h75, h88, h87, h172, h46, h38, h56, h154, h37, h168, h70, h184, h149, h59, h93, h170, h171, h62, h24, h92, h4, h155, h158, h17, h188, h64, h95, h166, h115, h65, h32, h35, h31, h94, h146, h142, h160, h144, h189, h14, h197, h43, h133, h10, h104, h147, h36, h164, h151, h29, h165, h5, h3, h25, h178, h52, h173, h127, h141, h98, h85, h61, h97, h159, h76, h45, h130, h179, h82, h68, h11, h131, h26, h16, h137, h135, h122, h195, h114, h121, h15, h124, h148, h145, h74, h30, h169, h73, h116, h53, h28, h39, h102, h13, h153, h7, h129, h55, h162, h49, h8, h60, h196, h103, h58, h12, h161, h177, h185, h109, h143, h156, h190, h186, h183, h63, h107, h157, h174, h123, h27, h191, h152, h112, h41, h200, h57, h108, h6, h50, h193, h67, h34, h78, h47, h48, h120, h99, h9, h96, h21, h91, h128, h83, h119, h66, h163, h71, h118, h84, h22, h44, h126, h1, h181, h198, h77, h176, h106, h42, h187, h79, h19, h69, h33, h192, h23, h182, h132, h101, h90, h100, h180, h117, h54, h81, h136, h199, h167, h86, h138, h51, h20, h150, h2, h113, h175, h105, h72, h89, h110
