---
TYPE: stable_matching
MEN: m1, m2, m3, m4, m5, m6, m7, m8, m9, m10, m11, m12, m13, m14, m15, m16, m17, m18, m19, m20, m21, m22, m23, m24, m25, m26, m27, m28, m29, m30, m31, m32, m33, m34, m35, m36, m37, m38, m39, m40, m41, m42, m43, m44, m45, m46, m47, m48, m49, m50, m51, m52, m53, m54, m55, m56, m57, m58, m59, m60, m61, m62, m63, m64, m65, m66, m67, m68, m69, m70, m71, m72, m73, m74, m75, m76, m77, m78, m79, m80, m81, m82, m83, m84, m85, m86, m87, m88, m89, m90, m91, m92, m93, m94, m95, m96, m97, m98, m99, m100
m9: w23, w83, w16, w17, w8, w50, w9, w46, w24, w45, w73, w77, w94, w42, w100, w14, w67, w81, w21, w61, w95, w32, w38, w63, w96, w60, w78, w65, w59, w72, w31, w1, w91, w88, w92, w80, w98, w6, w27, w58, w25, w18, w7, w87, w34, w41, w26, w97, w20, w90, w12, w39, w56, w47, w82, w76, w71, w89, w36, w85, w48, w13, w54, w70, w37, w69, w10, w57, w51, w28, w4, w11, w93, w99, w44, w5, w84, w62, w40, w19, w52, w30, w64, w53, w33, w15, w79, w68, w66, w29, w86, w22, w49, w43, w35, w55, w3, w74, w75, w2
m10: w4, w44, w50, w9, w73, w18, w20, w12, w66, w13, w1, w17, w74, w28, w29, w33, w35, w5, w16, w15, w38, w99, w81, w43, w8, w60, w3, w76, w67, w41, w77, w45, w92, w79, w26, w56, w86, w32, w34, w65, w22, w95, w72, w100, w88, w64, w96, w39, w36, w47, w93, w14, w80, w89, w68, w10, w6, w63, w52, w94, w70, w40, w51, w30, w87, w61, w48, w25, w59, w82, w55, w2, w71, w46, w91, w21, w83, w53, w49, w90, w24, w27, w19, w58, w78, w23, w69, w7, w62, w98, w97, w31, w75, w11, w57, w42, w84, w37, w85, w54
m11: w53, w85, w80, w76, w95, w87, w71, w20, w81, w78, w21, w34, w28, w2, w84, w54, w25, w45, w65, w75, w23, w51, w40, w10, w59, w36, w72, w92, w56, w99, w31, w13, w89, w67, w3, w9, w60, w30, w46, w44, w57, w43, w93, w88, w1, w100, w37, w74, w39, w96, w38, w58, w49, w77, w5, w68, w63, w27, w52, w7, w24, w16, w62, w69, w83, w4, w29, w98, w82, w91, w97, w41, w70, w42, w18, w55, w61, w22, w35, w26, w66, w6, w12, w17, w90, w50, w15, w79, w64, w47, w94, w11, w14, w86, w32, w8, w19, w73, w33, w48
m12: w90, w41, w68, w2, w92, w46, w49, w28, w91, w32, w34, w75, w63, w51, w61, w29, w89, w18, w1, w54, w96, w27, w59, w62, w25, w3, w23, w4, w82, w100, w58, w60, w47, w81, w9, w95, w71, w7, w73, w39, w80, w87, w70, w78, w57, w72, w76, w30, w22, w50, w67, w31, w16, w12, w13, w44, w79, w5, w98, w52, w93, w19, w83, w45, w43, w36, w42, w10, w77, w94, w35, w17, w26, w97, w69, w88, w85, w8, w14, w6, w56, w40, w53, w11, w65, w37, w66, w86, w15, w64, w74, w38, w20, w99, w33, w55, w21, w48, w84, w24
m13: w71, w73, w5, w86, w42, w32, w88, w80, w8, w43, w100, w97, w98, w22, w53, w58, w70, w76, w28, w47, w54, w3, w35, w12, w59, w36, w77, w82, w74, w26, w91, w48, w64, w83, w60, w41, w16, w9, w99, w23, w46, w33, w15, w30, w50, w44, w17, w6, w21, w4, w20, w11, w40, w38, w27, w66, w78, w52, w2, w14, w29, w89, w92, w56, w51, w75, w93, w31, w69, w10, w37, w85, w24, w18, w65, w94, w57, w63, w45, w7, w49, w62, w68, w96, w84, w90, w55, w67, w25, w1, w79, w13, w19, w87, w61, w72, w39, w34, w81, w95
m14: w28, w62, w2, w5, w94, w82, w33, w88, w65, w43, w66, w92, w80, w61, w78, w71, w24, w22, w91, w76, w87, w100, w54, w1, w51, w49, w64, w70, w73, w96, w47, w83, w7, w36, w68, w99, w4, w77, w84, w8, w34, w93, w41, w75, w25, w13, w9, w60, w59, w19, w97, w50, w29, w74, w86, w38, w55, w20, w17, w95, w57, w27, w39, w89, w14, w12, w67, w69, w11, w44, w37, w23, w53, w18, w31, w42, w98, w46, w16, w3, w45, w10, w72, w15, w79, w32, w40, w81, w85, w26, w35, w56, w21, w58, w6, w52, w48, w63, w30, w90
m15: w40, w38, w84, w13, w74, w29, w21, w97, w58, w23, w87, w3, w92, w14, w45, w90, w69, w26, w41, w31, w47, w65, w8, w98, w60, w35, w48, w55, w17, w93, w27, w37, w68, w71, w91, w89, w78, w4, w77, w75, w28, w80, w86, w49, w2, w11, w44, w12, w83, w5, w19, w34, w76, w7, w10, w66, w56, w64, w62, w42, w6, w50, w70, w33, w96, w30, w1, w9, w22, w72, w61, w18, w73, w82, w94, w46, w95, w25, w85, w88, w51, w32, w24, w99, w52, w59, w81, w100, w16, w20, w36, w43, w67, w15, w57, w39, w53, w63, w79, w54
m16: w4, w61, w69, w1, w37, w53, w81, w28, w64, w47, w46, w86, w51, w70, w68, w67, w13, w95, w80, w24, w14, w31, w87, w9, w7, w42, w44, w3, w54, w57, w43, w72, w15, w79, w73, w52, w62, w65, w34, w11, w29, w75, w66, w40, w17, w59, w77, w94, w32, w88, w89, w99, w12, w26, w41, w84, w55, w63, w6, w23, w98, w35, w96, w49, w100, w10, w21, w5, w78, w36, w93, w2, w38, w90, w30, w71, w56, w82, w74, w20, w85, w25, w50, w19, w58, w27, w39, w16, w22, w8, w45, w92, w18, w97, w83, w60, w33, w48, w76, w91
m17: w60, w42, w64, w1, w40, w53, w46, w34, w6, w39, w55, w13, w87, w99, w81, w88, w28, w71, w66, w94, w49, w14, w69, w73, w12, w72, w32, w56, w47, w21, w36, w16, w25, w95, w67, w61, w45, w3, w38, w27, w11, w82, w15, w20, w22, w4, w70, w62, w29, w77, w76, w92, w57, w23, w52, w91, w59, w90, w9, w18, w48, w33, w100, w75, w65, w41, w26, w51, w89, w17, w96, w19, w84, w44, w93, w97, w2, w30, w80, w58, w24, w10, w63, w86, w35, w54, w7, w98, w85, w5, w78, w37, w79, w74, w8, w68, w83, w43, w31, w50
m18: w34, w30, w27, w32, w92, w50, w36, w37, w96, w49, w73, w11, w20, w22, w83, w25, w58, w84, w89, w4, w68, w91, w71, w94, w51, w44, w60, w42, w7, w75, w97, w90, w40, w98, w8, w14, w76, w78, w47, w23, w13, w46, w3, w31, w21, w100, w99, w39, w17, w77, w38, w18, w35, w93, w81, w85, w28, w54, w26, w45, w59, w69, w88, w57, w61, w48, w53, w64, w82, w80, w62, w95, w19, w16, w43, w2, w6, w12, w29, w10, w70, w1, w15, w9, w63, w66, w5, w67, w24, w55, w72, w79, w33, w86, w74, w41, w52, w56, w87, w65
m19: w8, w20, w72, w56, w79, w25, w41, w96, w15, w62, w82, w53, w13, w91, w55, w81, w64, w5, w83, w31, w26, w47, w4, w44, w59, w12, w39, w1, w93, w75, w89, w42, w84, w52, w92, w100, w3, w10, w49, w33, w69, w40, w70, w90, w30, w16, w6, w14, w51, w11, w74, w68, w7, w32, w88, w65, w50, w45, w67, w2, w78, w19, w58, w23, w21, w27, w22, w85, w28, w29, w24, w17, w71, w48, w60, w63, w86, w46, w18, w73, w98, w87, w38, w35, w43, w61, w34, w97, w57, w95, w94, w36, w77, w80, w37, w54, w76, w9, w99, w66
m20: w71, w59, w6, w19, w29, w58, w63, w24, w2, w93, w86, w100, w49, w17, w25, w39, w92, w5, w47, w3, w26, w35, w98, w84, w69, w53, w7, w72, w96, w32, w8, w38, w82, w78, w55, w4, w73, w83, w11, w30, w23, w51, w54, w21, w16, w76, w65, w64, w40, w33, w20, w87, w70, w79, w18, w57, w48, w9, w68, w89, w88, w43, w13, w52, w77, w56, w22, w74, w12, w67, w61, w60, w75, w99, w14, w15, w46, w1, w37, w80, w97, w10, w81, w50, w85, w90, w27, w44, w62, w91, w28, w42, w45, w36, w95, w66, w34, w31, w41, w94
m21: w55, w25, w6, w10, w28, w66, w38, w96, w51, w65, w76, w49, w75, w92, w69, w97, w100, w70, w34, w73, w47, w24, w84, w68, w50, w62, w60, w12, w27, w72, w77, w33, w54, w16, w67, w93, w40, w35, w29, w41, w14, w85, w63, w89, w23, w39, w11, w46, w82, w95, w78, w91, w13, w80, w18, w53, w21, w45, w36, w15, w99, w32, w57, w98, w20, w30, w94, w86, w88, w81, w9, w74, w19, w31, w3, w58, w1, w52, w83, w37, w59, w8, w44, w61, w43, w42, w2, w7, w17, w90, w26, w56, w4, w64, w71, w87, w5, w22, w79, w48
m22: w56, w8, w61, w82, w65, w7, w53, w27, w20, w85, w63, w87, w76, w95, w68, w12, w1, w49, w34, w92, w83, w17, w67, w89, w6, w64, w18, w33, w88, w84, w66, w69, w70, w50, w28, w97, w94, w79, w91, w60, w59, w4, w55, w100, w81, w19, w23, w86, w39, w62, w36, w43, w32, w45, w40, w71, w41, w35, w57, w10, w2, w15, w99, w37, w58, w73, w3, w90, w29, w52, w77, w16, w25, w78, w47, w96, w31, w54, w72, w74, w26, w93, w80, w22, w48, w14, w98, w51, w24, w38, w44, w9, w42, w5, w75, w30, w46, w21, w13, w11
m23: w31, w44, w100, w92, w11, w41, w78, w96, w91, w60, w94, w76, w23, w28, w18, w43, w64, w39, w74, w36, w21, w75, w42, w16, w15, w62, w80, w48, w66, w50, w8, w7, w19, w69, w24, w65, w63, w20, w82, w45, w3, w87, w89, w1, w27, w86, w83, w46, w72, w95, w52, w58, w59, w12, w98, w9, w81, w26, w32, w61, w88, w53, w55, w77, w84, w29, w33, w25, w68, w5, w90, w56, w54, w49, w17, w97, w2, w85, w71, w67, w22, w40, w35, w34, w57, w37, w79, w13, w70, w93, w51, w38, w30, w47, w14, w4, w6, w99, w10, w73
m24: w87, w93, w1, w26, w9, w31, w60, w3, w67, w74, w88, w99, w35, w69, w77, w81, w66, w7, w46, w72, w51, w22, w73, w59, w33, w52, w78, w90, w91, w75, w49, w24, w19, w45, w37, w44, w94, w12, w84, w50, w61, w56, w96, w58, w63, w80, w43, w21, w55, w38, w20, w57, w86, w6, w98, w53, w92, w32, w97, w28, w68, w62, w70, w85, w40, w48, w5, w54, w34, w4, w89, w13, w76, w83, w65, w14, w10, w79, w82, w15, w71, w36, w39, w16, w42, w30, w18, w23, w27, w100, w47, w8, w2, w17, w29, w25, w41, w11, w64, w95
m25: w24, w38, w71, w69, w5, w34, w37, w93, w44, w11, w43, w56, w32, w23, w27, w96, w12, w68, w84, w8, w61, w63, w88, w98, w49, w22, w74, w36, w53, w80, w91, w52, w60, w62, w25, w79, w3, w26, w73, w55, w97, w39, w48, w21, w95, w20, w42, w51, w6, w35, w77, w19, w31, w54, w89, w15, w82, w100, w18, w29, w86, w76, w83, w92, w78, w40, w70, w94, w59, w16, w64, w13, w47, w17, w90, w45, w33, w9, w7, w99, w72, w46, w87, w57, w50, w14, w85, w58, w81, w30, w2, w1, w66, w67, w28, w65, w75, w4, w41, w10
m26: w66, w82, w80, w33, w40, w87, w41, w25, w89, w26, w93, w100, w81, w49, w86, w6, w36, w95, w35, w57, w94, w12, w58, w98, w30, w48, w37, w39, w71, w29, w65, w8, w31, w38, w75, w99, w22, w14, w64, w13, w43, w92, w91, w76, w67, w52, w5, w16, w90, w69, w15, w74, w45, w2, w3, w56, w32, w55, w44, w7, w83, w10, w47, w34, w59, w96, w88, w21, w85, w1, w17, w19, w24, w84, w18, w9, w61, w23, w77, w28, w4, w42, w50, w51, w70, w78, w27, w53, w63, w97, w62, w46, w68, w79, w72, w54, w73, w20, w60, w11
m27: w72, w74, w48, w2, w22, w64, w60, w87, w92, w6, w16, w66, w99, w62, w27, w10, w94, w51, w34, w14, w46, w95, w56, w1, w68, w28, w11, w26, w75, w86, w24, w43, w54, w32, w69, w53, w67, w37, w12, w65, w49, w98, w41, w47, w88, w93, w55, w82, w15, w30, w8, w17, w7, w83, w61, w40, w45, w90, w23, w59, w78, w36, w33, w91, w42, w31, w39, w97, w50, w96, w58, w44, w18, w9, w76, w85, w52, w100, w29, w20, w57, w73, w71, w70, w79, w3, w38, w35, w84, w81, w89, w13, w19, w80, w77, w5, w4, w21, w63, w25
m28: w74, w46, w70, w6, w51, w81, w48, w100, w8, w7, w95, w86, w84, w56, w26, w33, w54, w31, w30, w20, w34, w14, w12, w99, w92, w50, w57, w21, w37, w93, w77, w58, w88, w75, w66, w73, w38, w82, w25, w16, w98, w19, w15, w94, w97, w42, w72, w2, w17, w44, w52, w55, w90, w96, w53, w68, w59, w83, w62, w65, w80, w10, w3, w49, w61, w85, w47, w60, w40, w27, w32, w64, w36, w71, w35, w76, w18, w11, w9, w87, w89, w45, w79, w4, w78, w43, w91, w39, w13, w41, w24, w69, w67, w29, w22, w63, w1, w5, w23, w28
m29: w33, w54, w31, w62, w72, w93, w78, w42, w18, w55, w5, w77, w17, w40, w56, w67, w25, w88, w46, w71, w34, w19, w45, w85, w65, w24, w74, w14, w16, w81, w79, w37, w53, w96, w97, w87, w2, w99, w47, w63, w61, w9, w100, w84, w98, w15, w90, w38, w69, w7, w89, w80, w49, w26, w28, w83, w75, w70, w95, w10, w92, w23, w57, w29, w30, w82, w48, w6, w86, w11, w64, w12, w73, w60, w43, w44, w4, w21, w41, w13, w51, w1, w58, w66, w35, w27, w68, w94, w50, w20, w32, w36, w76, w52, w3, w91, w22, w59, w39, w8
m30: w55, w40, w44, w67, w80, w16, w100, w56, w68, w74, w54, w25, w22, w39, w14, w73, w30, w90, w29, w17, w96, w23, w70, w31, w78, w95, w75, w77, w35, w10, w92, w33, w26, w65, w13, w81, w28, w98, w66, w34, w15, w86, w32, w1, w4, w72, w3, w49, w21, w6, w59, w69, w47, w58, w88, w57, w76, w18, w43, w71, w27, w5, w87, w9, w2, w97, w62, w91, w61, w63, w94, w12, w24, w51, w8, w50, w64, w20, w84, w42, w85, w41, w79, w60, w83, w99, w48, w36, w53, w93, w7, w45, w89, w19, w82, w52, w38, w37, w46, w11
m31: w66, w42, w3, w17, w46, w55, w48, w4, w25, w54, w70, w6, w80, w82, w75, w14, w5, w45, w60, w86, w22, w58, w7, w15, w44, w29, w59, w72, w32, w35, w98, w9, w47, w68, w91, w1, w43, w53, w37, w18, w76, w96, w74, w27, w95, w51, w84, w52, w97, w85, w56, w10, w8, w31, w64, w50, w83, w33, w2, w30, w79, w16, w61, w100, w88, w34, w77, w62, w12, w87, w65, w57, w39, w23, w93, w19, w89, w41, w73, w81, w71, w49, w24, w90, w94, w28, w11, w92, w67, w21, w99, w40, w20, w36, w13, w26, w78, w38, w63, w69
m32: w31, w56, w70, w81, w73, w77, w97, w83, w27, w58, w71, w34, w5, w29, w68, w86, w33, w48, w76, w25, w62, w16, w96, w87, w35, w12, w49, w65, w26, w67, w94, w74, w88, w36, w78, w93, w95, w69, w66, w54, w51, w72, w47, w7, w4, w91, w45, w100, w50, w43, w20, w55, w30, w13, w8, w14, w23, w10, w11, w85, w80, w75, w40, w6, w60, w15, w42, w63, w3, w2, w57, w44, w1, w64, w84, w99, w41, w24, w38, w53, w61, w21, w37, w22, w28, w18, w59, w90, w79, w32, w52, w19, w39, w92, w17, w9, w98, w46, w89, w82
m33: w5, w69, w52, w50, w63, w33, w80, w10, w56, w25, w35, w77, w48, w84, w22, w11, w98, w65, w85, w4, w51, w73, w34, w39, w55, w100, w89, w42, w67, w47, w1, w18, w64, w46, w15, w21, w12, w7, w8, w29, w38, w14, w90, w62, w99, w41, w13, w78, w43, w82, w53, w57, w74, w20, w36, w60, w83, w92, w44, w26, w66, w19, w9, w59, w2, w94, w71, w79, w6, w61, w70, w31, w93, w68, w37, w76, w54, w27, w86, w24, w58, w40, w88, w28, w16, w91, w17, w3, w96, w97, w32, w30, w72, w81, w75, w23, w45, w95, w49, w87
m34: w41, w98, w11, w96, w50, w49, w20, w66, w80, w68, w58, w92, w44, w33, w81, w17, w61, w26, w24, w60, w16, w87, w39, w28, w89, w36, w47, w97, w53, w35, w37, w46, w40, w75, w90, w82, w57, w93, w8, w86, w55, w42, w32, w52, w79, w13, w23, w29, w65, w63, w27, w94, w2, w76, w1, w15, w14, w95, w70, w74, w38, w77, w72, w9, w34, w7, w59, w19, w10, w56, w100, w84, w48, w83, w22, w69, w3, w18, w30, w21, w85, w5, w99, w25, w54, w51, w71, w4, w88, w31, w43, w73, w64, w67, w6, w78, w91, w12, w45, w62
m35: w56, w46, w41, w58, w69, w52, w90, w76, w40, w91, w96, w29, w21, w73, w9, w22, w57, w27, w51, w87, w47, w67, w98, w88, w43, w50, w28, w34, w15, w13, w93, w2, w62, w99, w32, w44, w54, w10, w24, w17, w60, w36, w11, w81, w3, w25, w55, w1, w20, w61, w97, w16, w85, w59, w19, w84, w6, w86, w53, w89, w71, w94, w18, w63, w70, w74, w30, w23, w95, w64, w12, w42, w37, w92, w66, w45, w77, w82, w8, w65, w26, w75, w49, w68, w7, w72, w80, w100, w39, w4, w35, w79, w33, w38, w83, w78, w31, w5, w48, w14
m36: w44, w5, w30, w7, w59, w18, w74, w41, w81, w96, w39, w58, w20, w14, w57, w64, w63, w92, w98, w53, w86, w34, w1, w8, w72, w89, w80, w2, w31, w37, w36, w75, w51, w82, w67, w4, w35, w52, w54, w43, w47, w12, w70, w87, w83, w55, w88, w85, w15, w100, w42, w26, w13, w84, w99, w56, w11, w29, w71, w95, w73, w79, w24, w46, w38, w17, w3, w76, w19, w60, w94, w49, w27, w10, w45, w78, w50, w23, w28, w9, w77, w97, w69, w91, w40, w21, w66, w48, w16, w68, w61, w6, w32, w25, w33, w62, w22, w65, w90, w93
m37: w33, w45, w91, w57, w42, w40, w11, w38, w35, w63, w10, w49, w15, w51, w44, w28, w26, w59, w47, w20, w78, w24, w43, w88, w71, w32, w50, w97, w12, w52, w6, w65, w8, w72, w99, w55, w94, w34, w48, w87, w16, w92, w61, w1, w93, w29, w60, w84, w54, w81, w22, w90, w82, w9, w19, w85, w46, w18, w4, w74, w3, w25, w96, w41, w7, w39, w76, w58, w100, w86, w68, w17, w14, w80, w2, w79, w53, w67, w69, w77, w31, w64, w21, w13, w70, w75, w66, w56, w30, w37, w62, w27, w95, w5, w36, w23, w83, w98, w73, w89
m38: w12, w16, w86, w18, w58, w62, w59, w4, w65, w3, w50, w69, w43, w88, w5, w34, w77, w37, w41, w74, w60, w32, w57, w63, w13, w72, w45, w10, w24, w95, w39, w90, w83, w6, w7, w9, w52, w92, w30, w71, w40, w2, w11, w75, w17, w80, w47, w14, w85, w42, w53, w100, w55, w73, w91, w29, w36, w8, w56, w54, w19, w22, w35, w76, w67, w78, w70, w44, w99, w96, w61, w26, w49, w68, w27, w25, w93, w82, w15, w98, w94, w51, w66, w79, w21, w33, w81, w97, w1, w64, w20, w84, w28, w89, w48, w23, w31, w87, w38, w46
m39: w19, w69, w56, w93, w3, w23, w48, w75, w50, w40, w88, w18, w11, w97, w98, w65, w42, w68, w64, w99, w16, w17, w30, w13, w84, w76, w54, w32, w61, w74, w51, w20, w7, w67, w83, w21, w2, w44, w57, w55, w5, w29, w62, w1, w90, w39, w9, w46, w31, w59, w79, w37, w43, w33, w47, w25, w82, w78, w10, w8, w26, w38, w89, w81, w53, w100, w41, w58, w63, w49, w45, w95, w52, w96, w27, w35, w92, w91, w94, w14, w24, w34, w6, w72, w71, w15, w73, w80, w36, w22, w28, w70, w66, w86, w85, w12, w87, w4, w60, w77
m40: w1, w98, w75, w36, w81, w40, w59, w54, w56, w52, w57, w45, w18, w28, w100, w94, w82, w63, w86, w58, w21, w13, w60, w83, w12, w78, w33, w29, w34, w74, w16, w41, w55, w24, w93, w39, w48, w4, w30, w67, w64, w27, w46, w47, w68, w19, w49, w5, w35, w84, w62, w70, w50, w42, w44, w31, w20, w10, w96, w37, w23, w32, w87, w3, w25, w2, w7, w71, w26, w88, w97, w15, w90, w77, w61, w14, w51, w80, w72, w43, w8, w95, w11, w99, w85, w92, w69, w6, w9, w22, w53, w89, w38, w73, w66, w17, w76, w65, w91, w79
m41: w21, w38, w97, w79, w82, w64, w35, w75, w20, w59, w50, w80, w46, w93, w89, w56, w84, w39, w28, w53, w88, w1, w49, w22, w4, w68, w74, w86, w69, w41, w57, w9, w2, w43, w87, w10, w32, w5, w63, w15, w73, w62, w65, w99, w85, w70, w25, w67, w95, w30, w19, w47, w14, w60, w3, w77, w42, w27, w12, w83, w24, w26, w66, w8, w52, w16, w18, w51, w44, w13, w37, w48, w81, w90, w54, w40, w31, w6, w100, w71, w33, w17, w96, w7, w58, w45, w61, w11, w78, w23, w92, w91, w55, w36, w34, w72, w76, w29, w94, w98
m42: w91, w21, w80, w100, w43, w77, w42, w96, w82, w8, w53, w26, w28, w35, w88, w10, w34, w69, w38, w81, w1, w25, w87, w7, w32, w98, w48, w85, w83, w74, w79, w3, w56, w29, w2, w59, w39, w27, w45, w41, w73, w37, w92, w76, w20, w5, w61, w13, w75, w93, w99, w49, w22, w16, w11, w33, w44, w95, w4, w17, w63, w46, w51, w60, w18, w12, w97, w19, w90, w89, w14, w15, w58, w94, w67, w64, w72, w47, w55, w57, w50, w62, w78, w30, w70, w71, w40, w86, w9, w23, w31, w68, w24, w36, w52, w65, w54, w84, w6, w66
m43: w96, w26, w52, w22, w64, w36, w62, w70, w56, w49, w43, w84, w18, w50, w91, w99, w13, w61, w9, w48, w77, w3, w59, w10, w75, w44, w85, w57, w66, w73, w25, w29, w39, w78, w1, w21, w2, w46, w15, w47, w11, w94, w95, w54, w82, w32, w100, w71, w98, w6, w80, w69, w81, w28, w24, w67, w90, w68, w20, w30, w45, w60, w76, w7, w33, w12, w55, w16, w72, w92, w5, w58, w8, w74, w63, w35, w31, w93, w19, w27, w42, w65, w79, w83, w86, w14, w87, w51, w4, w41, w88, w38, w89, w23, w34, w53, w97, w37, w40, w17
