---
TYPE: course_allocation
STUDENTS: s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12, s13, s14, s15, s16, s17, s18, s19, s20, s21, s22, s23, s24, s25, s26, s27, s28, s29, s30, s31, s32, s33, s34, s35, s36, s37, s38, s39, s40, s41, s42, s43, s44, s45, s46, s47, s48, s49, s50, s51, s52, s53, s54, s55, s56, s57, s58, s59, s60, s61, s62, s63, s64, s65, s66, s67, s68, s69, s70, s71, s72, s73, s74, s75, s76, s77, s78, s79, s80, s81, s82, s83, s84, s85, s86, s87, s88, s89, s90, s91, s92, s93, s94, s95, s96, s97, s98, s99, s100, s101, s102, s103, s104, s105, s106, s107, s108, s109, s110, s111, s112, s113, s114, s115, s116, s117, s118, s119, s120, s121, s122, s123, s124, s125, s126, s127, s128, s129, s130, s131, s132, s133, s134, s135, s136, s137, s138, s139, s140, s141, s142, s143, s144, s145, s146, s147, s148, s149, s150, s151, s152, s153, s154, s155, s156, s157, s158, s159, s160, s161, s162, s163, s164, s165, s166, s167, s168, s169, s170, s171, s172, s173, s174, s175, s176, s177, s178, s179, s180, s181, s182, s183, s184, s185, s186, s187, s188, s189, s190, s191, s192, s193, s194, s195, s196, s197, s198, s199, s200
COURSES: c1, c2, c3, c4, c5, c6, c7, c8, c9, c10
s18: c2, c10, c6, c8, c5, c3, c9, c4, c7, c1
s19: c3, c2, c5, c10, c9, c8, c6, c7, c4, c1
s20: c7, c2, c5, c10, c9, c4, c6, c8, c3, c1
s21: c9, c7, c8, c5, c4, c10, c3, c1, c2, c6
s22: c7, c8, c10, c4, c9, c5, c6, c3, c2, c1
s23: c6, c8, c3, c4, c7, c10, c9, c5, c1, c2
s24: c9, c1, c6, c2, c8, c4, c3, c7, c5, c10
s25: c10, c3, c2, c9, c4, c6, c5, c8, c1, c7
s26: c7, c8, c9, c1, c5, c4, c2, c3, c10, c6
s27: c10, c1, c5, c4, c2, c7, c6, c9, c3, c8
s28: c5, c10, c2, c9, c8, c6, c7, c3, c4, c1
s29: c5, c7, c1, c10, c9, c8, c6, c4, c3, c2
s30: c6, c2, c9, c8, c1, c4, c10, c3, c5, c7
s31: c7, c10, c3, c4, c5, c6, c2, c1, c9, c8
s32: c4, c6, c7, c10, c2, c3, c1, c8, c9, c5
s33: c2, c6, c4, c9, c3, c1, c10, c7, c8, c5
s34: c7, c2, c10, c8, c3, c9, c1, c5, c4, c6
s35: c4, c5, c8, c10, c2, c6, c3, c1, c7, c9
s36: c10, c4, c6, c8, c3, c9, c2, c7, c1, c5
s37: c1, c3, c10, c5, c9, c7, c6, c2, c4, c8
s38: c5, c7, c1, c2, c10, c3, c8, c4, c6, c9
s39: c9, c2, c5, c7, c4, c1, c3, c10, c6, c8
s40: c5, c8, c7, c4, c3, c6, c2, c9, c10, c1
s41: c7, c8, c2, c6, c9, c4, c5, c3, c1, c10
s42: c7, c6, c8, c2, c10, c1, c3, c9, c5, c4
s43: c2, c10, c9, c6, c1, c8, c7, c3, c4, c5
s44: c6, c4, c5, c10, c2, c1, c3, c8, c7, c9
s45: c7, c9, c8, c4, c2, c3, c1, c6, c5, c10
s46: c3, c8, c1, c10, c9, c6, c7, c2, c5, c4
s47: c9, c4, c3, c5, c2, c8, c1, c7, c10, c6
s48: c10, c2, c5, c3, c8, c9, c7, c4, c1, c6
s49: c4, c2, c3, c6, c1, c5, c9, c8, c10, c7
s50: c6, c8, c2, c3, c7, c9, c4, c1, c5, c10
s51: c5, c9, c8, c1, c10, c2, c4, c7, c3, c6
s52: c1, c8, c4, c10, c3, c9, c6, c5, c7, c2
s53: c2, c3, c9, c1, c5, c4, c6, c8, c7, c10
s54: c8, c4, c3, c10, c5, c6, c9, c7, c1, c2
s55: c6, c7, c1, c4, c9, c3, c2, c10, c8, c5
s56: c8, c10, c2, c3, c4, c6, c1, c7, c9, c5
s57: c10, c6, c1, c5, c3, c8, c2, c9, c7, c4
s58: c3, c2, c10, c7, c6, c1, c5, c4, c9, c8
s59: c10, c5, c2, c9, c3, c8, c4, c7, c1, c6
s60: c3, c9, c5, c2, c7, c6, c8, c4, c10, c1
s61: c4, c1, c5, c3, c7, c10, c2, c9, c8, c6
s62: c7, c9, c4, c3, c6, c1, c2, c5, c10, c8
s63: c2, c8, c7, c6, c1, c9, c5, c3, c10, c4
s64: c10, c4, c1, c6, c8, c3, c2, c5, c9, c7
s65: c4, c6, c8, c5, c7, c10, c1, c3, c9, c2
s66: c8, c2, c10, c9, c4, c3, c5, c6, c1, c7
s67: c8, c1, c6, c3, c4, c9, c10, c2, c5, c7
s68: c4, c10, c1, c9, c3, c2, c8, c5, c7, c6
s69: c2, c3, c4, c6, c10, c7, c9, c1, c5, c8
s70: c1, c4, c10, c9, c2, c5, c6, c7, c3, c8
s71: c3, c5, c9, c6, c1, c10, c7, c8, c2, c4
s72: c4, c6, c5, c9, c7, c10, c3, c1, c2, c8
s73: c3, c6, c7, c5, c10, c2, c4, c1, c9, c8
s74: c2, c10, c9, c7, c8, c6, c1, c5, c3, c4
s75: c7, c9, c6, c2, c3, c1, c5, c8, c4, c10
s76: c9, c6, c10, c4, c5, c8, c2, c3, c1, c7
s77: c9, c1, c10, c8, c2, c7, c5, c6, c3, c4
s78: c4, c10, c9, c1, c6, c3, c2, c5, c7, c8
s79: c8, c3, c1, c7, c9, c5, c2, c10, c4, c6
s80: c3, c4, c9, c6, c1, c2, c5, c7, c8, c10
s81: c9, c10, c2, c5, c7, c6, c4, c1, c8, c3
s82: c9, c2, c3, c5, c8, c4, c6, c1, c10, c7
s83: c8, c2, c7, c4, c1, c9, c10, c6, c3, c5
s84: c6, c3, c7, c5, c9, c8, c1, c4, c10, c2
s85: c5, c1, c10, c4, c8, c9, c7, c6, c2, c3
s86: c5, c2, c6, c4, c9, c10, c1, c8, c3, c7
s87: c7, c4, c9, c5, c10, c3, c2, c8, c1, c6
s88: c1, c5, c8, c7, c9, c3, c4, c2, c6, c10
s89: c3, c10, c1, c8, c9, c4, c7, c6, c5, c2
s90: c9, c5, c1, c4, c8, c6, c3, c2, c10, c7
s91: c8, c2, c10, c3, c5, c7, c4, c6, c1, c9
s92: c1, c10, c8, c2, c3, c9, c5, c4, c7, c6
s93: c5, c1, c7, c6, c8, c10, c4, c3, c9, c2
s94: c5, c1, c4, c6, c10, c8, c9, c2, c7, c3
s95: c3, c6, c1, c10, c8, c9, c5, c7, c4, c2
s96: c7, c9, c6, c8, c3, c5, c2, c4, c1, c10
s97: c3, c5, c2, c6, c10, c4, c1, c9, c7, c8
s98: c5, c4, c2, c3, c9, c10, c7, c6, c8, c1
s99: c3, c7, c9, c6, c10, c4, c1, c2, c8, c5
s100: c7, c4, c1, c2, c3, c5, c6, c10, c9, c8
s101: c7, c8, c10, c3, c2, c9, c4, c6, c1, c5
s102: c6, c7, c10, c5, c2, c3, c4, c1, c8, c9
s103: c9, c6, c1, c7, c8, c4, c10, c5, c2, c3
s104: c5, c9, c7, c1, c10, c3, c6, c4, c8, c2
s105: c10, c1, c4, c6, c7, c5, c3, c9, c2, c8
s106: c1, c9, c10, c6, c8, c4, c5, c7, c3, c2
s107: c9, c3, c4, c2, c1, c6, c10, c7, c5, c8
s108: c10, c1, c2, c6, c9, c7, c4, c3, c8, c5
s109: c3, c10, c2, c5, c4, c6, c9, c1, c8, c7
s110: c10, c9, c4, c8, c6, c3, c7, c5, c2, c1
s111: c6, c3, c8, c9, c4, c10, c1, c5, c2, c7
s112: c2, c7, c5, c10, c4, c6, c8, c3, c9, c1
s113: c2, c7, c6, c10, c3, c4, c1, c9, c5, c8
s114: c3, c1, c2, c9, c10, c7, c8, c6, c4, c5
s115: c1, c6, c3, c9, c2, c4, c10, c7, c5, c8
s116: c8, c4, c7, c9, c1, c2, c5, c10, c3, c6
s117: c9, c3, c8, c10, c2, c5, c6, c4, c1, c7
s118: c10, c1, c5, c8, c4, c3, c2, c6, c9, c7
s119: c8, c4, c3, c1, c7, c6, c2, c5, c9, c10
s120: c7, c4, c8, c6, c2, c1, c9, c3, c5, c10
s121: c4, c7, c6, c9, c3, c8, c2, c10, c1, c5
s122: c6, c8, c4, c9, c10, c1, c3, c2, c5, c7
s123: c7, c9, c2, c3, c4, c1, c8, c6, c5, c10
s124: c1, c5, c4, c2, c3, c9, c6, c10, c8, c7
s125: c4, c3, c2, c7, c8, c10, c5, c6, c9, c1
s126: c6, c7, c3, c5, c4, c9, c1, c10, c2, c8
s127: c5, c8, c10, c7, c2, c6, c3, c9, c1, c4
s128: c4, c7, c10, c3, c9, c1, c5, c8, c2, c6
s129: c5, c3, c8, c6, c4, c9, c7, c1, c2, c10
s130: c10, c7, c4, c3, c9, c2, c1, c8, c6, c5
s131: c2, c1, c10, c9, c4, c8, c7, c5, c6, c3
s132: c1, c5, c7, c10, c8, c6, c2, c4, c9, c3
s133: c3, c2, c1, c7, c9, c10, c8, c4, c6, c5
s134: c10, c2, c9, c1, c3, c4, c8, c7, c5, c6
s135: c6, c2, c3, c10, c7, c5, c4, c8, c1, c9
s136: c8, c7, c10, c1, c9, c3, c5, c2, c6, c4
s137: c1, c5, c6, c9, c2, c7, c4, c3, c10, c8
s138: c2, c9, c1, c6, c4, c10, c3, c8, c7, c5
s139: c10, c8, c7, c9, c1, c2, c6, c5, c4, c3
s140: c9, c4, c5, c6, c8, c7, c3, c1, c2, c10
s141: c5, c7, c1, c4, c3, c10, c9, c2, c6, c8
s142: c5, c10, c7, c1, c3, c8, c9, c2, c6, c4
s143: c7, c10, c4, c3, c5, c1, c2, c6, c8, c9
s144: c8, c2, c3, c5, c10, c4, c7, c9, c6, c1
s145: c4, c8, c3, c5, c6, c7, c10, c9, c2, c1
s146: c1, c2, c7, c8, c6, c9, c3, c10, c5, c4
s147: c8, c1, c7, c2, c10, c9, c6, c3, c5, c4
s148: c2, c9, c5, c8, c1, c7, c4, c10, c3, c6
s149: c2, c5, c7, c8, c4, c9, c3, c1, c6, c10
s150: c6, c1, c7, c10, c4, c5, c3, c9, c2, c8
s151: c5, c7, c1, c6, c8, c10, c2, c4, c3, c9
s152: c9, c2, c5, c3, c4, c7, c1, c8, c10, c6
s153: c3, c4, c9, c2, c6, c1, c10, c8, c7, c5
s154: c7, c4, c2, c1, c10, c3, c8, c9, c5, c6
s155: c6, c8, c4, c7, c3, c9, c1, c10, c5, c2
s156: c6, c1, c7, c2, c4, c10, c3, c9, c5, c8
s157: c10, c4, c9, c7, c3, c2, c5, c8, c6, c1
s158: c9, c5, c7, c10, c8, c4, c3, c1, c2, c6
s159: c7, c4, c10, c1, c5, c8, c3, c9, c2, c6
s160: c6, c9, c8, c4, c3, c1, c5, c2, c10, c7
s161: c7, c1, c9, c4, c6, c5, c2, c10, c3, c8
s162: c9, c6, c5, c10, c7, c2, c4, c1, c3, c8
s163: c8, c2, c6, c4, c1, c9, c7, c10, c5, c3
s164: c8, c9, c2, c10, c4, c6, c5, c1, c3, c7
s165: c7, c1, c3, c5, c6, c8, c10, c4, c9, c2
s166: c2, c9, c3, c7, c8, c6, c5, c1, c10, c4
s167: c1, c10, c8, c6, c9, c7, c3, c4, c5, c2
s168: c4, c9, c5, c6, c8, c10, c3, c2, c7, c1
s169: c6, c10, c5, c7, c2, c8, c9, c4, c3, c1
s170: c4, c6, c1, c9, c7, c3, c8, c5, c2, c10
s171: c2, c6, c7, c1, c4, c5, c8, c9, c10, c3
s172: c10, c8, c7, c2, c4, c9, c5, c6, c1, c3
s173: c4, c3, c8, c7, c2, c6, c5, c1, c10, c9
s174: c6, c9, c5, c3, c2, c8, c7, c4, c10, c1
s175: c8, c3, c9, c7, c2, c6, c1, c10, c5, c4
s176: c3, c5, c10, c4, c2, c9, c8, c7, c6, c1
s177: c9, c7, c5, c6, c1, c8, c3, c10, c4, c2
s178: c6, c7, c9, c8, c4, c5, c10, c2, c3, c1
s179: c8, c1, c10, c3, c6, c4, c2, c7, c5, c9
s180: c4, c2, c1, c5, c10, c7, c8, c9, c6, c3
s181: c7, c3, c6, c4, c8, c1, c5, c10, c2, c9
s182: c9, c10, c2, c7, c5, c6, c4, c8, c3, c1
s183: c4, c9, c6, c7, c3, c8, c5, c10, c1, c2
s184: c7, c2, c1, c4, c10, c6, c5, c3, c8, c9
s185: c5, c1, c10, c7, c3, c2, c6, c9, c8, c4
s186: c8, c5, c4, c6, c10, c7, c2, c3, c9, c1
s187: c1, c9, c6, c4, c3, c5, c2, c7, c8, c10
s188: c6, c9, c8, c5, c4, c2, c3, c10, c7, c1
s189: c5, c3, c2, c6, c8, c1, c7, c9, c10, c4
s190: c7, c5, c1, c8, c10, c4, c2, c3, c6, c9
s191: c1, c3, c5, c10, c7, c8, c4, c2, c6, c9
s192: c10, c7, c4, c1, c9, c8, c3, c5, c6, c2
s193: c7, c2, c10, c5, c4, c8, c1, c6, c3, c9
s194: c7, c5, c3, c6, c1, c2, c4, c9, c8, c10
s195: c3, c9, c4, c7, c6, c10, c2, c8, c5, c1
s196: c9, c7, c10, c5, c6, c1, c2, c8, c4, c3
s197: c6, c2, c5, c7, c1, c3, c10, c9, c8, c4
s198: c10, c4, c1, c7, c8, c9, c2, c6, c3, c5
s199: c5, c7, c10, c4, c6, c8, c1, c9, c2, c3
s200: c7, c4, c1, c3, c2, c6, c9, c8, c10, c5
COURSE_PREFERENCES:
c1: s9, s28, s51, s159, s8, s69, s129, s190, s3, s126, s107, s83, s49, s121, s122, s25, s19, s7, s31, s160, s189, s41, s143, s192, s181, s44, s53, s84, s6, s158, s142, s194, s95, s68, s152, s66, s98, s186, s188, s110, s52, s118, s149, s55, s183, s63, s33, s10, s91, s87, s145, s111, s29, s103, s157, s139, s37, s39, s64, s168, s61, s106, s148, s185, s82, s182, s42, s46, s14, s196, s26, s34, s147, s40, s47, s130, s85, s102, s200, s77, s58, s161, s108, s16, s162, s12, s163, s32, s169, s199, s59, s5, s38, s79, s114, s30, s166, s155, s23, s112, s50, s62, s35, s24, s134, s27, s138, s71, s4, s65, s116, s197, s21, s165, s94, s13, s86, s100, s141, s48, s120, s167, s174, s57, s180, s173, s137, s56, s22, s187, s15, s88, s172, s170, s156, s131, s81, s198, s177, s36, s146, s67, s184, s20, s176, s153, s73, s151, s119, s97, s17, s96, s171, s115, s135, s92, s164, s43, s150, s113, s54, s93, s140, s70, s193, s154, s124, s175, s72, s11, s132, s104, s144, s99, s127, s60, s101, s191, s133, s128, s74, s76, s1, s18, s195, s78, s45, s2, s123, s178, s80, s109, s117, s136, s179, s75, s90, s105, s89, s125
c2: s191, s32, s147, s59, s160, s75, s19, s125, s17, s24, s90, s190, s9, s183, s187, s7, s28, s42, s128, s196, s193, s6, s78, s119, s175, s95, s118, s43, s108, s180, s11, s131, s45, s136, s115, s5, s13, s124, s27, s159, s57, s185, s85, s167, s66, s123, s166, s99, s172, s130, s96, s177, s58, s10, s4, s97, s38, s31, s52, s137, s195, s80, s88, s154, s103, s110, s170, s48, s20, s169, s171, s93, s8, s18, s114, s100, s63, s92, s161, s144, s56, s81, s3, s44, s61, s65, s150, s116, s64, s55, s68, s194, s113, s179, s163, s141, s26, s36, s120, s188, s49, s142, s176, s162, s23, s102, s178, s138, s140, s89, s82, s151, s127, s152, s34, s94, s117, s15, s21, s1, s29, s143, s192, s62, s25, s122, s145, s129, s184, s149, s50, s70, s76, s111, s53, s73, s67, s12, s126, s157, s77, s40, s189, s37, s198, s158, s199, s72, s101, s84, s83, s181, s164, s200, s87, s153, s35, s54, s91, s74, s79, s155, s71, s156, s186, s133, s134, s107, s121, s173, s51, s146, s132, s182, s135, s109, s41, s139, s106, s2, s148, s86, s112, s165, s14, s98, s174, s105, s47, s22, s46, s39, s60, s104, s33, s168, s197, s30, s69, s16
c3: s89, s162, s134, s23, s186, s104, s54, s192, s188, s145, s165, s9, s95, s31, s177, s64, s34, s155, s163, s138, s93, s8, s139, s122, s76, s68, s77, s129, s17, s81, s56, s83, s191, s105, s53, s123, s173, s153, s147, s94, s15, s38, s170, s141, s61, s55, s25, s198, s43, s110, s102, s168, s79, s66, s130, s57, s62, s36, s20, s22, s195, s26, s194, s140, s107, s181, s39, s136, s103, s101, s44, s184, s117, s133, s92, s169, s146, s164, s28, s119, s27, s196, s65, s124, s172, s5, s182, s48, s52, s12, s84, s70, s159, s131, s7, s171, s127, s175, s115, s87, s151, s128, s179, s121, s63, s167, s60, s3, s154, s126, s32, s120, s176, s197, s14, s49, s100, s80, s40, s6, s187, s29, s90, s112, s157, s74, s11, s144, s10, s174, s2, s193, s46, s41, s116, s149, s108, s91, s183, s82, s166, s4, s78, s75, s72, s160, s47, s50, s185, s24, s109, s58, s161, s21, s178, s135, s88, s113, s37, s143, s156, s150, s189, s1, s96, s111, s137, s142, s16, s51, s59, s69, s180, s42, s200, s19, s148, s35, s13, s85, s152, s106, s86, s45, s30, s97, s132, s118, s71, s98, s67, s158, s125, s18, s190, s33, s199, s114, s99, s73
c4: s19, s51, s87, s45, s53, s68, s31, s5, s174, s18, s115, s70, s162, s27, s158, s58, s108, s23, s56, s4, s90, s138, s104, s120, s10, s42, s15, s147, s153, s67, s142, s130, s125, s33, s16, s146, s145, s173, s21, s3, s17, s39, s180, s30, s47, s190, s36, s175, s129, s117, s109, s137, s181, s155, s187, s20, s196, s66, s105, s57, s124, s81, s119, s122, s98, s176, s189, s83, s89, s82, s22, s114, s96, s25, s34, s86, s43, s164, s152, s165, s177, s1, s178, s88, s85, s198, s188, s143, s171, s29, s133, s184, s154, s50, s131, s121, s102, s168, s134, s170, s54, s107, s112, s2, s113, s97, s118, s52, s169, s101, s64, s74, s40, s126, s38, s141, s166, s191, s76, s99, s167, s59, s78, s128, s62, s91, s199, s150, s73, s132, s192, s148, s161, s179, s75, s139, s140, s136, s135, s127, s60, s182, s11, s63, s185, s49, s156, s32, s41, s149, s172, s103, s92, s110, s111, s65, s44, s200, s14, s77, s151, s69, s55, s163, s72, s195, s106, s186, s94, s48, s26, s116, s8, s12, s193, s13, s183, s80, s28, s123, s35, s7, s160, s79, s197, s24, s194, s157, s95, s159, s144, s93, s46, s6, s100, s37, s9, s61, s84, s71
c5: s161, s163, s16, s93, s31, s181, s191, s180, s146, s18, s43, s113, s149, s155, s103, s44, s78, s108, s3, s115, s71, s20, s95, s38, s174, s102, s64, s109, s66, s187, s82, s154, s173, s63, s46, s56, s107, s159, s49, s196, s137, s68, s135, s52, s156, s14, s27, s198, s128, s138, s29, s177, s199, s144, s87, s58, s6, s40, s193, s90, s114, s81, s147, s121, s151, s183, s74, s32, s61, s157, s97, s130, s167, s112, s158, s54, s33, s176, s195, s35, s152, s169, s153, s99, s65, s171, s30, s45, s83, s94, s79, s126, s111, s129, s140, s200, s134, s170, s192, s125, s9, s166, s117, s141, s15, s53, s21, s36, s118, s77, s7, s106, s124, s104, s136, s84, s73, s34, s59, s39, s13, s1, s23, s17, s145, s62, s119, s85, s28, s100, s139, s4, s89, s25, s96, s72, s41, s143, s178, s164, s24, s175, s91, s26, s51, s123, s168, s179, s98, s148, s80, s186, s70, s57, s160, s22, s122, s88, s189, s76, s184, s86, s12, s182, s37, s19, s8, s165, s11, s142, s194, s190, s197, s75, s48, s150, s127, s50, s120, s10, s55, s133, s2, s162, s105, s116, s132, s101, s92, s185, s47, s131, s67, s188, s42, s69, s60, s5, s172, s110
c6: s163, s170, s138, s3, s116, s14, s112, s147, s50, s45, s154, s162, s192, s40, s193, s59, s42, s117, s159, s31, s171, s80, s186, s27, s113, s172, s70, s55, s120, s173, s135, s127, s23, s75, s102, s77, s87, s152, s168, s79, s12, s32, s62, s5, s100, s164, s122, s22, s47, s20, s43, s140, s110, s131, s184, s46, s128, s57, s49, s105, s54, s199, s69, s191, s142, s30, s98, s158, s151, s34, s84, s2, s145, s134, s141, s123, s175, s133, s124, s17, s11, s56, s68, s103, s139, s132, s189, s130, s200, s39, s25, s29, s109, s88, s194, s85, s66, s28, s106, s95, s187, s76, s89, s16, s188, s156, s15, s136, s137, s125, s157, s86, s90, s108, s81, s178, s71, s155, s63, s190, s99, s44, s78, s1, s114, s33, s180, s83, s61, s6, s96, s67, s35, s166, s196, s58, s38, s101, s119, s93, s185, s60, s179, s150, s104, s126, s7, s146, s92, s97, s161, s176, s24, s51, s53, s19, s82, s13, s144, s195, s10, s198, s18, s74, s160, s65, s167, s72, s37, s183, s91, s64, s118, s9, s48, s4, s26, s177, s153, s21, s115, s36, s149, s107, s121, s41, s94, s181, s52, s182, s169, s73, s111, s174, s129, s143, s8, s165, s148, s197
c7: s90, s35, s98, s136, s186, s97, s37, s130, s167, s24, s50, s76, s72, s62, s96, s9, s116, s15, s140, s71, s49, s172, s88, s196, s174, s163, s58, s133, s169, s91, s158, s59, s12, s144, s115, s148, s147, s13, s73, s154, s106, s25, s189, s193, s36, s131, s139, s79, s171, s109, s200, s89, s5, s34, s28, s113, s40, s60, s52, s132, s141, s190, s57, s160, s146, s107, s46, s1, s18, s188, s16, s11, s31, s102, s33, s111, s20, s43, s112, s155, s181, s78, s108, s156, s114, s151, s119, s92, s47, s145, s162, s3, s182, s184, s179, s198, s26, s42, s27, s80, s194, s23, s10, s125, s87, s64, s99, s41, s21, s142, s185, s197, s152, s101, s95, s4, s30, s82, s51, s56, s176, s134, s195, s166, s192, s53, s100, s183, s123, s121, s81, s83, s75, s165, s164, s126, s77, s199, s93, s6, s168, s67, s94, s173, s19, s61, s84, s17, s103, s29, s120, s85, s65, s39, s124, s135, s70, s153, s8, s22, s68, s55, s69, s54, s38, s14, s86, s45, s177, s48, s159, s44, s157, s143, s128, s138, s32, s2, s129, s104, s170, s117, s178, s110, s63, s149, s118, s105, s175, s137, s127, s66, s180, s191, s150, s161, s187, s7, s122, s74
c8: s20, s181, s72, s136, s14, s161, s147, s46, s99, s170, s173, s193, s160, s113, s91, s109, s120, s26, s118, s159, s48, s166, s142, s37, s168, s135, s85, s86, s3, s38, s24, s67, s15, s154, s81, s116, s56, s44, s27, s18, s145, s57, s127, s104, s155, s126, s143, s74, s60, s52, s89, s198, s107, s94, s33, s134, s68, s28, s31, s149, s88, s22, s70, s158, s64, s69, s42, s34, s117, s76, s111, s184, s139, s197, s119, s182, s84, s140, s101, s23, s29, s186, s102, s194, s90, s16, s58, s115, s105, s40, s100, s133, s80, s75, s123, s130, s180, s176, s188, s179, s167, s185, s47, s5, s110, s172, s63, s121, s49, s164, s108, s62, s137, s157, s129, s96, s187, s174, s122, s183, s2, s30, s114, s196, s53, s19, s79, s32, s175, s65, s61, s125, s73, s95, s103, s191, s165, s138, s8, s83, s50, s39, s132, s97, s21, s66, s151, s59, s153, s171, s36, s148, s141, s10, s78, s9, s93, s11, s45, s51, s43, s82, s177, s54, s144, s13, s178, s124, s106, s71, s12, s200, s152, s150, s128, s77, s169, s98, s4, s146, s1, s112, s192, s162, s195, s7, s55, s190, s92, s199, s131, s41, s25, s6, s87, s35, s189, s17, s163, s156
c9: s147, s84, s96, s88, s41, s103, s163, s160, s119, s80, s107, s7, s93, s34, s184, s45, s91, s123, s15, s33, s83, s77, s108, s87, s134, s166, s143, s78, s115, s39, s116, s196, s90, s76, s112, s102, s12, s11, s144, s58, s81, s174, s191, s189, s133, s177, s27, s64, s149, s67, s61, s65, s171, s157, s2, s136, s71, s46, s98, s131, s1, s197, s52, s19, s195, s50, s101, s113, s152, s69, s94, s4, s127, s153, s79, s158, s155, s99, s199, s82, s172, s60, s28, s150, s30, s49, s24, s181, s42, s164, s43, s48, s86, s109, s154, s132, s180, s168, s53, s104, s114, s54, s8, s66, s176, s146, s129, s59, s26, s20, s151, s192, s18, s118, s31, s10, s62, s130, s35, s6, s145, s161, s183, s137, s47, s55, s44, s188, s135, s17, s198, s16, s156, s36, s117, s32, s68, s74, s121, s3, s89, s148, s122, s57, s14, s173, s194, s142, s22, s167, s95, s120, s128, s138, s51, s23, s182, s193, s37, s190, s165, s185, s92, s186, s29, s169, s187, s9, s21, s140, s106, s85, s125, s105, s100, s63, s178, s179, s159, s111, s25, s200, s97, s13, s175, s170, s40, s38, s72, s162, s56, s110, s141, s124, s75, s126, s5, s70, s139, s73
